barcode,author_last_name,year,checkouts,division,n_pages
12973129,McLeary,1994,3,MNS,75
17136862,Montecillo,2013,0,LL,66
15587876,Molloy,2005,2,PRPL,63
12566006,Monney,1976,1,ART,78
14353965,Miller,1991,4,ART,67
14123608,Marshall,1996,4,LL,111
16419897,Martin,1941,0,HSS,59
12669990,Mason,1973,0,MNS,42
17261298,Martin,2016,1,ART,21
16516031,Hawkins,2010,0,PRPL,46
17431438,Hellickson,2015,0,MNS,67
13916952,Hart,1951,0,MNS,25
17814393,Hardy,1971,2,HSS,252
12111233,Ultee,1969,3,HSS,45
13032958,Ulmer,1993,1,MNS,37
14184295,Uppendahl,1961,0,LL,84
14297626,Ungar,1985,1,LL,35
14638746,Cook,2000,4,PRPL,66
15673148,Collachi,1979,0,MNS,86
14814198,Clark,2000,3,MNS,48
15493497,Clark,2004,1,HSS,126
12118279,Zechel,1981,2,ART,50
12980363,Zhao,1994,1,HSS,66
17264839,Zhu,2016,0,ART,28
12283586,Zyracki,1991,0,LL,35
17796640,Todhunter,2019,0,HSS,65
17359332,Trumm,2014,0,HSS,119
14402531,Tran,1999,0,MNS,38
12111972,Tarr,1942,0,HSS,89
15689409,Zurer,1972,2,MNS,53
15323371,Zuckerman,2005,0,MNS,78
12453528,Zephyr,1989,0,ART,57
12118436,Zalim,1981,0,HSS,58
15700719,Somers,1947,0,MNS,35
16307936,Stempt,2010,0,PRPL,59
15167935,Stanton,2002,1,HSS,96
17615922,Sanders,1951,5,LL,154
16143851,Hudson,2008,3,PRPL,55
17260233,Hurth,2016,0,LL,65
12640223,Herding,1970,4,MNS,48
14339204,Holterman,1996,0,LL,52
12280988,Gallegos,1991,5,LL,70
12491791,Gale,1990,2,HSS,126
17354846,Gallagher,2014,0,MNS,88
14953335,Galligan,2001,0,PRPL,51
13107669,Galloway,1992,4,ART,70
16143836,Ianelli,2008,1,ART,85
17355488,Iannitti,2014,1,LL,85
16545055,Ichikawa,2011,4,MNS,55
15861172,Iglehart,2007,0,PRPL,52
12660965,Ike,1979,0,HSS,109
15702970,Waage,1964,0,MNS,26
12110748,Wachob,1950,0,HSS,106
12110565,Wadsworth,1986,2,LL,101
17797861,Wadhwa,2019,0,PRPL,39
